language,cell,period,head_lemma,cooccurrence_count
Russian,1pl,2014_2021,пододеяломзеленный,1
Russian,1pl,2014_2021,подсматривать,1
Russian,1pl,2014_2021,позабыть,1
Russian,1pl,2014_2021,получаться,1
Russian,1pl,2014_2021,помалкивать,1
Russian,1pl,2014_2021,помнить,1
Russian,1pl,2014_2021,понимание,1
Russian,1pl,2014_2021,похотливый,1
Russian,1pl,2014_2021,предприть,1
Russian,1pl,2014_2021,предстоять,1
Russian,1pl,2014_2021,пригласить,1
Russian,1pl,2014_2021,приготовить,1
Russian,1pl,2014_2021,прийти,1
Russian,1pl,2014_2021,принимать,1
Russian,1pl,2014_2021,приходить,1
Russian,1pl,2014_2021,прогрызать,1
Russian,1pl,2014_2021,пройти,1
Russian,1pl,2014_2021,просить,1
Russian,1pl,2014_2021,проснивирь,1
Russian,1pl,2014_2021,проститься,1
Russian,1pl,2014_2021,против,1
Russian,1pl,2014_2021,прятать,1
Russian,1pl,2014_2021,птица,1
Russian,1pl,2014_2021,пускай,1
Russian,1pl,2014_2021,разгладить,1
Russian,1pl,2014_2021,разница,1
Russian,1pl,2014_2021,разрежать,1
Russian,1pl,2014_2021,раскладывать,1
Russian,1pl,2014_2021,рать,1
Russian,1pl,2014_2021,решить,1
Russian,1pl,2014_2021,сбежать,1
Russian,1pl,2014_2021,сбой,1
Russian,1pl,2014_2021,сердце,1
Russian,1pl,2014_2021,сильный,1
Russian,1pl,2014_2021,скрывать,1
Russian,1pl,2014_2021,сличать,1
Russian,1pl,2014_2021,случаться,1
Russian,1pl,2014_2021,снять,1
Russian,1pl,2014_2021,собираться,1
Russian,1pl,2014_2021,совершать,1
Russian,1pl,2014_2021,соезть,1
Russian,1pl,2014_2021,сортировать,1
Russian,1pl,2014_2021,спросить,1
Russian,1pl,2014_2021,сродни,1
Russian,1pl,2014_2021,стать,1
Russian,1pl,2014_2021,степь,1
Russian,1pl,2014_2021,сторона,1
Russian,1pl,2014_2021,страшный,1
Russian,1pl,2014_2021,счастье,1
Russian,1pl,2014_2021,там,1
Russian,1pl,2014_2021,теплый,1
Russian,1pl,2014_2021,терять,1
Russian,1pl,2014_2021,тот,1
Russian,1pl,2014_2021,трусливый,1
Russian,1pl,2014_2021,тыняться,1
Russian,1pl,2014_2021,тянуть,1
Russian,1pl,2014_2021,тянуться,1
Russian,1pl,2014_2021,умереть,1
Russian,1pl,2014_2021,уснуть,1
Russian,1pl,2014_2021,учиться,1
Russian,1pl,2014_2021,хвалить,1
Russian,1pl,2014_2021,хватить,1
Russian,1pl,2014_2021,хлебать,1
Russian,1pl,2014_2021,хотин,1
Russian,1pl,2014_2021,хотя,1
Russian,1pl,2014_2021,храм,1
Russian,1pl,2014_2021,чувствовать,1
Russian,1pl,2014_2021,этаж,1
Russian,1pl,2014_2021,я,1
Russian,1pl,post_2022,остаться,4
Russian,1pl,post_2022,root,3
Russian,1pl,post_2022,живой,3
Russian,1pl,post_2022,идти,3
Russian,1pl,post_2022,стоять,3
Russian,1pl,post_2022,строить,3
Russian,1pl,post_2022,бар,2
Russian,1pl,post_2022,говорить,2
Russian,1pl,post_2022,желать,2
Russian,1pl,post_2022,жить,2
Russian,1pl,post_2022,защитить,2
Russian,1pl,post_2022,лечить,2
Russian,1pl,post_2022,навалиться,2
Russian,1pl,post_2022,прийти,2
Russian,1pl,post_2022,сбегать,2
Russian,1pl,post_2022,хороший,2
Russian,1pl,post_2022,болеть,1
Russian,1pl,post_2022,веять,1
Russian,1pl,post_2022,видеть,1
Russian,1pl,post_2022,видеться,1
Russian,1pl,post_2022,возвестить,1
Russian,1pl,post_2022,воспоезнуть,1
