poem_id,author_id,1sg,1pl,2sg,2pl_vy_polite_singular,2pl_vy_true_plural,2pl,n_total,exposure_n_stanzas,exposure_n_stanza_index_max,exposure_n_tokens,exposure_n_finite_verbs,exposure_n_finite_verbs_excl_imperative,min_stanzas,min_tokens,include_in_offset_models,include_in_fv_offset_models,include_in_fv_excl_imp_offset_models,language_clean,year_int,period3
UP2567_1,A17,2,1,0,0,2,2,5,1,1.0,54,6,4,1,54,True,True,True,Russian,2021.0,P1_2014_2021
UP2556_1,A04,8,0,9,0,0,0,17,5,7.0,83,18,18,5,3,True,True,True,Ukrainian,2021.0,P1_2014_2021
UP2568_4,A17,2,1,0,0,0,0,3,1,2.0,57,0,0,1,57,True,False,False,Russian,2021.0,P1_2014_2021
UP2557_2,A04,0,5,0,0,0,0,5,3,6.0,63,14,14,3,19,True,True,True,Ukrainian,2021.0,P1_2014_2021
UP2571_1,A17,0,0,1,0,0,0,1,1,1.0,38,1,1,1,38,True,True,True,Russian,2021.0,P1_2014_2021
UP2554_1,A04,12,0,7,0,0,0,19,4,4.0,77,16,15,4,7,True,True,True,Ukrainian,2021.0,P1_2014_2021
UP2564_1,A04,2,2,7,0,9,9,20,6,7.0,136,27,17,6,20,True,True,True,Ukrainian,2019.0,P1_2014_2021
UP2572_1,A04,1,0,0,0,1,1,2,1,1.0,21,2,2,1,21,True,True,True,Ukrainian,2024.0,P2_2022_plus
UP2573_1,A04,0,4,0,0,0,0,4,2,4.0,43,4,4,2,13,True,True,True,Ukrainian,2024.0,P2_2022_plus
UP2570_1,A17,0,3,4,0,1,1,8,6,9.0,65,1,0,6,4,True,True,False,Russian,2021.0,P1_2014_2021
UP2578_1,A04,0,0,4,0,0,0,4,3,3.0,56,13,10,3,12,True,True,True,Ukrainian,2023.0,P2_2022_plus
UP2588_1,A17,3,3,0,0,0,0,6,1,1.0,40,5,5,1,40,True,True,True,Ukrainian,2021.0,P1_2014_2021
UP2566_1,A17,0,1,2,0,0,0,3,3,6.0,75,1,1,3,16,True,True,True,Russian,2021.0,P1_2014_2021
UP2586_1,A17,0,0,1,0,0,0,1,1,1.0,69,2,1,1,69,True,True,True,Russian,2021.0,P1_2014_2021
UP2587_1,A17,0,0,1,0,0,0,1,1,1.0,9,0,0,1,9,True,False,False,Russian,2021.0,P1_2014_2021
UP2590_1,A17,0,0,5,0,0,0,5,1,1.0,48,1,1,1,48,True,True,True,Russian,2021.0,P1_2014_2021
UP2579_1,A04,6,1,4,0,1,1,12,3,3.0,85,14,11,3,17,True,True,True,Ukrainian,2024.0,P2_2022_plus
UP26_1,A25,0,0,0,0,1,1,1,1,1.0,5,1,0,1,5,True,True,False,Ukrainian,2014.0,P1_2014_2021
UP2576_1,A04,1,2,3,0,1,1,7,3,6.0,76,13,10,3,10,True,True,True,Ukrainian,2023.0,P2_2022_plus
UP2585_1,A17,0,8,0,0,0,0,8,5,7.0,119,3,3,5,18,True,True,True,Russian,2021.0,P1_2014_2021
UP2591_1,A17,2,2,0,0,0,0,4,4,5.0,85,3,3,4,20,True,True,True,Russian,2021.0,P1_2014_2021
UP2603_2,A20,0,1,0,0,0,0,1,1,1.0,7,0,0,1,7,True,False,False,Ukrainian,2021.0,P1_2014_2021
UP2595_1,A04,1,2,5,0,0,0,8,3,4.0,40,9,8,3,6,True,True,True,Ukrainian,2023.0,P2_2022_plus
UP26_2,A25,4,0,0,0,0,0,4,1,1.0,142,16,14,1,142,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP2594_1,A20,5,2,5,0,0,0,12,4,4.0,169,23,22,4,38,True,True,True,Ukrainian,2021.0,P1_2014_2021
UP2600_1,A20,0,1,1,0,0,0,2,2,5.0,37,5,5,2,18,True,True,True,Ukrainian,2021.0,P1_2014_2021
UP2606_1,A20,2,3,1,0,0,0,6,4,5.0,121,12,12,4,29,True,True,True,Ukrainian,2021.0,P1_2014_2021
UP2598_1,A20,6,0,3,0,0,0,9,4,5.0,96,18,17,4,12,True,True,True,Ukrainian,2021.0,P1_2014_2021
UP2602_1,A20,6,0,2,0,0,0,8,3,4.0,84,8,8,3,27,True,True,True,Ukrainian,2021.0,P1_2014_2021
UP2599_1,A20,1,0,7,0,0,0,8,5,6.0,104,15,15,5,10,True,True,True,Ukrainian,2021.0,P1_2014_2021
UP2605_1,A20,0,0,4,0,0,0,4,3,6.0,86,11,9,3,25,True,True,True,Ukrainian,2021.0,P1_2014_2021
UP2607_1,A20,2,1,5,0,0,0,8,6,7.0,98,15,14,6,15,True,True,True,Ukrainian,2021.0,P1_2014_2021
UP2608_1,A20,2,1,3,0,0,0,6,2,4.0,78,13,13,2,33,True,True,True,Ukrainian,2021.0,P1_2014_2021
UP2612_1,A20,8,0,2,0,0,0,10,1,1.0,119,19,17,1,119,True,True,True,Ukrainian,2021.0,P1_2014_2021
UP2609_1,A20,3,1,1,0,0,0,5,4,7.0,52,6,6,4,8,True,True,True,Ukrainian,2021.0,P1_2014_2021
UP2601_1,A20,9,0,6,0,0,0,15,5,8.0,108,18,13,5,20,True,True,True,Ukrainian,2021.0,P1_2014_2021
UP2616_1,A20,2,1,3,0,0,0,6,1,1.0,106,16,15,1,106,True,True,True,Ukrainian,2021.0,P1_2014_2021
UP2618_1,A20,6,0,2,0,0,0,8,3,5.0,94,9,9,3,28,True,True,True,Ukrainian,2021.0,P1_2014_2021
UP2614_1,A20,8,1,7,0,0,0,16,5,5.0,165,18,18,5,28,True,True,True,Ukrainian,2021.0,P1_2014_2021
UP2619_1,A20,3,5,7,0,0,0,15,1,1.0,145,18,15,1,145,True,True,True,Ukrainian,2021.0,P1_2014_2021
UP2615_1,A20,5,0,6,0,0,0,11,5,6.0,116,17,15,5,20,True,True,True,Ukrainian,2021.0,P1_2014_2021
UP2613_1,A20,2,0,6,0,4,4,12,6,8.0,138,23,22,6,18,True,True,True,Ukrainian,2021.0,P1_2014_2021
UP2617_1,A20,0,0,9,0,0,0,9,4,12.0,69,9,7,4,16,True,True,True,Ukrainian,2021.0,P1_2014_2021
UP2639_1,A30,3,1,0,0,0,0,4,1,1.0,158,12,12,1,158,True,True,True,Ukrainian,2021.0,P1_2014_2021
UP2641_1,A30,1,8,9,0,0,0,18,4,6.0,157,24,21,4,34,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP2640_1,A30,0,0,5,0,0,0,5,2,3.0,91,13,12,2,33,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP2642_1,A30,1,1,6,0,0,0,8,5,9.0,66,11,11,5,12,True,True,True,Ukrainian,2022.0,P2_2022_plus
